timestamp,cpu_percent,memory_mb,memory_percent
1765719965,48.2,2468,31.08
1765719968,16.7,2459,30.97
1765719971,7.4,2459,30.97
1765719973,11,2462,31.00
1765719976,11.7,2462,31.00
1765719979,13.1,2459,30.97
1765719982,18.5,2459,30.97
1765719984,8.6,2465,31.04
1765719987,14.3,2463,31.02
1765719990,6.5,2463,31.02
1765719993,14.3,2464,31.03
1765719996,38.2,2464,31.03
1765719999,21.3,2462,31.00
1765720002,12.5,2461,30.99
1765720005,15,2462,31.00
1765720007,14.7,2460,30.98
1765720010,15.3,2461,30.99
1765720013,29.3,2462,31.00
1765720017,15,2463,31.02
1765720020,17.7,2462,31.00
1765720024,8.5,2459,30.97
