starttime	seconds	ctime	dtime	ttime	wait
Sun Dec 14 18:38:55 2025	1765712335	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:55 2025	1765712335	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:55 2025	1765712335	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:55 2025	1765712335	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:55 2025	1765712335	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:56 2025	1765712336	0	1	1	1
Sun Dec 14 18:38:55 2025	1765712335	0	2	2	2
Sun Dec 14 18:38:56 2025	1765712336	0	2	2	2
Sun Dec 14 18:38:56 2025	1765712336	0	2	2	2
Sun Dec 14 18:38:56 2025	1765712336	0	2	2	2
Sun Dec 14 18:38:56 2025	1765712336	1	1	2	1
Sun Dec 14 18:38:56 2025	1765712336	0	2	2	2
Sun Dec 14 18:38:56 2025	1765712336	0	2	2	2
Sun Dec 14 18:38:56 2025	1765712336	1	1	2	1
Sun Dec 14 18:38:56 2025	1765712336	0	2	2	2
Sun Dec 14 18:38:56 2025	1765712336	0	2	2	2
Sun Dec 14 18:38:56 2025	1765712336	0	2	2	2
Sun Dec 14 18:38:55 2025	1765712335	0	2	2	2
Sun Dec 14 18:38:55 2025	1765712335	0	2	2	2
Sun Dec 14 18:38:55 2025	1765712335	1	1	2	1
Sun Dec 14 18:38:55 2025	1765712335	0	2	2	1
Sun Dec 14 18:38:56 2025	1765712336	0	2	2	2
Sun Dec 14 18:38:55 2025	1765712335	0	2	2	2
Sun Dec 14 18:38:55 2025	1765712335	0	2	2	2
Sun Dec 14 18:38:55 2025	1765712335	0	2	2	2
Sun Dec 14 18:38:55 2025	1765712335	0	2	2	2
Sun Dec 14 18:38:56 2025	1765712336	1	1	2	1
Sun Dec 14 18:38:55 2025	1765712335	0	2	2	2
Sun Dec 14 18:38:56 2025	1765712336	0	2	2	2
Sun Dec 14 18:38:55 2025	1765712335	0	2	2	2
Sun Dec 14 18:38:56 2025	1765712336	0	2	2	2
Sun Dec 14 18:38:55 2025	1765712335	0	2	2	2
Sun Dec 14 18:38:55 2025	1765712335	0	2	2	2
Sun Dec 14 18:38:55 2025	1765712335	0	2	2	2
Sun Dec 14 18:38:55 2025	1765712335	0	2	2	2
Sun Dec 14 18:38:56 2025	1765712336	0	2	2	2
Sun Dec 14 18:38:56 2025	1765712336	0	2	2	2
Sun Dec 14 18:38:56 2025	1765712336	0	2	2	2
Sun Dec 14 18:38:56 2025	1765712336	0	2	2	2
Sun Dec 14 18:38:56 2025	1765712336	0	2	2	2
Sun Dec 14 18:38:56 2025	1765712336	0	2	2	2
Sun Dec 14 18:38:56 2025	1765712336	0	2	2	2
Sun Dec 14 18:38:56 2025	1765712336	0	2	2	2
