timestamp,cpu_percent,memory_mb,memory_percent
1765712271,0,8438.3,25.99
1765712275,19.53,8438.66,25.99
1765712278,15.73,8437.7,25.99
1765712282,20.97,8436.71,25.98
1765712285,15.81,8436.68,25.98
1765712289,21.67,8435.68,25.98
1765712292,15.98,8435.39,25.98
1765712296,21.69,8435.45,25.98
1765712299,16.50,8435.43,25.98
1765712303,22.83,8435.42,25.98
1765712306,17.67,8436.18,25.98
1765712310,23.14,8436.74,25.98
1765712313,21.58,8436.54,25.98
1765712317,25.78,8436.76,25.98
1765712320,21.08,8436.08,25.98
1765712324,23.69,8435.91,25.98
1765712327,17.71,8435.37,25.98
1765712331,25.94,8435.64,25.98
