timestamp,cpu_percent,memory_mb,memory_percent
1765352992,0.99,240.3,1.52
1765352994,61.42,14.15,0.09
1765352997,0.21,242.2,1.53
1765352999,0.00,11.68,0.07
1765353002,0.24,242.2,1.53
1765353004,0.00,11.68,0.07
1765353009,0.24,242.2,1.53
1765353011,0.00,11.68,0.07
1765353014,0.26,242.2,1.53
1765353016,0.00,11.68,0.07
1765353019,0.25,242.2,1.53
1765353021,0.00,11.68,0.07
1765353024,2.44,242.3,1.53
1765353026,0.00,11.68,0.07
1765353029,0.21,242.2,1.53
1765353031,0.00,11.68,0.07
1765353033,0.35,242.2,1.53
1765353035,0.00,11.68,0.07
1765353041,0.24,242.2,1.53
1765353043,0.00,11.68,0.07
1765353045,0.19,242.2,1.53
1765353047,0.00,11.68,0.07
1765353050,0.27,242.2,1.53
1765353052,0.00,11.75,0.07
