starttime	seconds	ctime	dtime	ttime	wait
Wed Dec 10 14:48:49 2025	1765352929	0	2	2	2
Wed Dec 10 14:48:49 2025	1765352929	0	2	2	2
Wed Dec 10 14:48:49 2025	1765352929	0	3	3	3
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	3
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	3
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
Wed Dec 10 14:48:50 2025	1765352930	0	4	4	4
